Parel Naka               ,400012,Mumbai  East      ,Mumbai         ,Mumbai
Parel Rly Work Shop      ,400012,Mumbai  East      ,NA             ,Mumbai
Parel                    ,400012,Mumbai  East      ,Mumbai         ,Mumbai
Delisle Road             ,400013,Mumbai  West      ,Mumbai         ,Mumbai
Dadar Colony             ,400014,Mumbai  East      ,Mumbai         ,Mumbai
Dadar                    ,400014,Mumbai  East      ,Mumbai         ,Mumbai
Naigaon                  ,400014,Mumbai  East      ,Mumbai         ,Mumbai
Sewri                    ,400015,Mumbai  East      ,Mumbai         ,Mumbai
Kapad Bazar              ,400016,Mumbai  West      ,Mumbai         ,Mumbai
Mahim Bazar              ,400016,Mumbai  West      ,Mumbai         ,Mumbai
Mahim East               ,400016,Mumbai  West      ,Mumbai         ,Mumbai
Mahim                    ,400016,Mumbai  West      ,Mumbai         ,Mumbai
Mori Road                ,400016,Mumbai  West      ,Mumbai         ,Mumbai
Dharavi Road             ,400017,Mumbai  West      ,Mumbai         ,Mumbai
Dharavi                  ,400017,Mumbai  West      ,Mumbai         ,Mumbai
Worli Naka               ,400018,Mumbai  West      ,Mumbai         ,Mumbai
Worli                    ,400018,Mumbai  West      ,Mumbai         ,Mumbai
Matunga                  ,400019,Mumbai  North East,Mumbai         ,Mumbai
Central Building         ,400020,Mumbai  South     ,Mumbai         ,Mumbai
Churchgate               ,400020,Mumbai  South     ,Mumbai         ,Mumbai
Marine Lines             ,400020,Mumbai  South     ,Mumbai         ,Mumbai
Nariman Point            ,400021,Mumbai  South     ,Mumbai         ,Mumbai
New Yogakshema           ,400021,Mumbai  South     ,Mumbai         ,Mumbai
Chunabhatti              ,400022,Mumbai  North East,Mumbai         ,Mumbai
Raoli Camp               ,400022,Mumbai  North East,NA             ,Mumbai
Sion                     ,400022,Mumbai  North East,Mumbai         ,Mumbai
Transit Camp             ,400022,Mumbai  North East,NA             ,Mumbai
Nehru Nagar              ,400024,Mumbai  North East,Mumbai         ,Mumbai
New Prabhadevi Road      ,400025,Mumbai  West      ,Mumbai         ,Mumbai
